"dT"	"dC"	"ATP"	"dTTP"	"dCTP"	"VdT"	"VdC"	"fg"	"year"	"jrnl"	"vol"	"page"	"frstAut"	"seq"	"state"	"E"	"k"
0	1	2000	0	0	NA	99.7	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0483042635658915
0	2	2000	0	0	NA	175.4	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0849806201550388
0	5	2000	0	0	NA	317.6	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.153875968992248
0	11	2000	0	0	NA	531.8	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.25765503875969
0	21	2000	0	0	NA	640.9	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.310513565891473
0	41	2000	0	0	NA	710.9	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.344428294573643
0	81	2000	0	0	NA	842.5	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.408187984496124
0	161	2000	0	0	NA	976.8	"t1"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.473255813953488
0	100	5	0	0	NA	111.9	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0542151162790698
0	100	10	0	0	NA	226.9	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.109932170542636
0	100	20	0	0	NA	285.8	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.138468992248062
0	100	50	0	0	NA	412.9	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.200048449612403
0	100	100	0	0	NA	454.7	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.220300387596899
0	100	200	0	0	NA	511.9	"t2"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.248013565891473
